GEOID,category,is_hpsa,num_pharmacies_2022,num_pharmacies_2017,num_pharmacies_2012,change_indep_10yr,change_indep_5yr,change_majchain_10yr,change_majchain_5yr
36005021700,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005021800,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005022101,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005022101,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005022102,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005022200,INDEPENDENT,True,8.0,9.0,6.0,2.0,-1.0,,
36005022300,INDEPENDENT,True,3.0,3.0,3.0,0.0,0.0,,
36005022401,INDEPENDENT,True,1.0,1.0,0.0,1.0,0.0,,
36005022403,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005022404,INDEPENDENT,True,2.0,1.0,2.0,0.0,1.0,,
36005022404,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005022500,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005022701,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005022702,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005022703,INDEPENDENT,True,2.0,2.0,1.0,1.0,0.0,,
36005022800,INDEPENDENT,True,2.0,2.0,1.0,1.0,0.0,,
36005023200,INDEPENDENT,True,1.0,2.0,1.0,0.0,-1.0,,
36005023302,INDEPENDENT,True,2.0,2.0,2.0,0.0,0.0,,
36005023501,INDEPENDENT,True,3.0,3.0,3.0,0.0,0.0,,
36005023502,INDEPENDENT,True,3.0,2.0,2.0,1.0,1.0,,
36005023600,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005023702,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005023703,INDEPENDENT,True,2.0,1.0,2.0,0.0,1.0,,
36005023704,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005023900,INDEPENDENT,True,5.0,6.0,5.0,0.0,-1.0,,
36005024100,INDEPENDENT,True,3.0,3.0,1.0,2.0,0.0,,
36005024100,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005024300,HEALTHCARE,True,1.0,1.0,1.0,,,,
36005024300,INDEPENDENT,True,4.0,3.0,3.0,1.0,1.0,,
36005024400,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005024501,INDEPENDENT,True,1.0,1.0,0.0,1.0,0.0,,
36005024502,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005024800,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005025100,INDEPENDENT,True,4.0,3.0,1.0,3.0,1.0,,
36005025300,INDEPENDENT,True,3.0,1.0,1.0,2.0,2.0,,
36005025400,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005025700,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005026300,INDEPENDENT,True,1.0,1.0,2.0,-1.0,0.0,,
36005026400,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005026500,INDEPENDENT,True,2.0,2.0,0.0,2.0,0.0,,
36005026500,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005026601,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005026602,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005026602,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005026701,INDEPENDENT,True,3.0,2.0,2.0,1.0,1.0,,
36005027900,INDEPENDENT,False,1.0,1.0,1.0,0.0,0.0,,
36005028300,INDEPENDENT,False,2.0,2.0,1.0,1.0,0.0,,
36005028300,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
